['2024-01-30 23:11:17', '2024-01-30 22:42:30']
['2024-02-03 03:07:34', '2024-02-03 03:02:30']
['2024-02-03 04:47:26', '2024-02-03 04:30:40']
['2024-02-03 07:07:17', '2024-02-03 06:47:30']
['2024-02-03 07:20:07', '2024-02-03 07:14:00']
['2024-02-03 07:32:56', '2024-02-03 07:24:13']
['2024-02-03 08:10:30', '2024-02-03 08:03:32']
['2024-02-03 08:28:33', '2024-02-03 08:21:28']
['2024-02-03 08:35:00', '2024-02-03 08:28:33']
['2024-02-03 08:49:49', '2024-02-03 08:38:52']
['2024-02-03 09:08:23', '2024-02-03 09:00:39']
['2024-02-03 09:15:57', '2024-02-03 09:09:04']
['2024-02-03 09:32:30', '2024-02-03 09:24:38']
['2024-02-03 09:47:26', '2024-02-03 09:36:07']
['2024-02-03 09:58:58', '2024-02-03 09:48:08']
['2024-02-03 10:13:03', '2024-02-03 09:59:15']
['2024-02-03 10:28:14', '2024-02-03 10:21:38']
['2024-02-03 10:44:09', '2024-02-03 10:28:14']
['2024-02-03 11:03:41', '2024-02-03 10:48:56']
['2024-02-03 11:10:59', '2024-02-03 11:03:56']
['2024-02-03 11:18:10', '2024-02-03 11:11:13']
['2024-02-03 12:02:33', '2024-02-03 11:30:20']
['2024-02-03 12:11:50', '2024-02-03 12:03:09']
['2024-02-03 12:21:54', '2024-02-03 12:15:50']
['2024-02-03 12:37:24', '2024-02-03 12:21:54']
['2024-02-03 12:45:51', '2024-02-03 12:38:43']
['2024-02-03 12:55:40', '2024-02-03 12:49:31']
['2024-02-03 13:12:06', '2024-02-03 13:02:00']
['2024-02-03 13:19:25', '2024-02-03 13:12:42']
['2024-02-03 13:34:39', '2024-02-03 13:25:41']
['2024-02-03 14:23:55', '2024-02-03 13:34:39']
['2024-02-03 14:38:45', '2024-02-03 14:23:55']
['2024-02-03 14:45:58', '2024-02-03 14:38:45']
['2024-02-03 15:04:13', '2024-02-03 14:52:29']
['2024-02-03 15:15:30', '2024-02-03 15:04:13']
['2024-02-03 15:24:49', '2024-02-03 15:17:20']
['2024-02-03 15:39:15', '2024-02-03 15:28:09']
['2024-02-03 15:56:48', '2024-02-03 15:47:31']
['2024-02-03 16:02:45', '2024-02-03 15:56:48']
['2024-02-03 16:14:42', '2024-02-03 16:08:30']
['2024-02-03 17:58:48', '2024-02-03 17:52:04']
['2024-02-03 18:13:05', '2024-02-03 18:03:30']
['2024-02-03 18:45:54', '2024-02-03 18:13:05']
['2024-02-03 18:52:52', '2024-02-03 18:45:54']
['2024-02-03 19:16:20', '2024-02-03 19:09:12']
['2024-02-03 19:30:28', '2024-02-03 19:17:47']
['2024-02-03 19:42:55', '2024-02-03 19:30:28']
['2024-02-03 19:55:38', '2024-02-03 19:43:37']
['2024-02-03 20:19:58', '2024-02-03 20:09:16']
['2024-02-03 20:28:16', '2024-02-03 20:20:08']
['2024-02-03 20:41:18', '2024-02-03 20:33:35']
['2024-02-03 20:55:31', '2024-02-03 20:41:18']
['2024-02-03 21:00:44', '2024-02-03 20:55:31']
['2024-02-03 21:11:42', '2024-02-03 21:00:44']
['2024-02-03 21:20:54', '2024-02-03 21:11:42']
['2024-02-03 21:29:04', '2024-02-03 21:20:54']
['2024-02-03 21:39:17', '2024-02-03 21:29:04']
['2024-02-03 21:50:56', '2024-02-03 21:45:07']
['2024-02-03 21:56:14', '2024-02-03 21:50:56']
['2024-02-03 22:10:37', '2024-02-03 22:05:33']
['2024-02-03 22:20:36', '2024-02-03 22:10:37']
['2024-02-03 22:26:20', '2024-02-03 22:20:36']
['2024-02-03 22:35:08', '2024-02-03 22:26:43']
['2024-02-03 22:55:19', '2024-02-03 22:45:03']
['2024-02-03 23:01:57', '2024-02-03 22:56:13']
['2024-02-03 23:13:58', '2024-02-03 23:02:53']
['2024-02-03 23:31:03', '2024-02-03 23:16:28']
['2024-02-03 23:38:53', '2024-02-03 23:31:03']
['2024-02-03 23:46:51', '2024-02-03 23:39:09']
['2024-02-04 00:02:05', '2024-02-03 23:47:06']
['2024-02-04 00:16:49', '2024-02-04 00:03:17']
['2024-02-04 04:27:28', '2024-02-04 04:09:31']
['2024-02-04 04:43:52', '2024-02-04 04:28:06']
