['2024-02-14 02:04:32', '2024-02-14 02:01:10']
['2024-02-14 12:57:34', '2024-02-14 12:55:08']
['2024-02-15 23:30:46', '2024-02-15 23:27:17']
['2024-02-16 02:04:43', '2024-02-16 02:02:07']
['2024-02-17 01:18:15', '2024-02-17 01:16:08']
['2024-02-17 03:05:25', '2024-02-17 03:03:09']
['2024-02-17 03:07:42', '2024-02-17 03:05:25']
['2024-02-17 03:09:55', '2024-02-17 03:07:42']
['2024-02-17 03:12:13', '2024-02-17 03:09:55']
['2024-02-17 03:14:25', '2024-02-17 03:12:13']
['2024-02-17 03:16:39', '2024-02-17 03:14:25']
['2024-02-17 03:18:53', '2024-02-17 03:16:39']
['2024-02-17 03:21:06', '2024-02-17 03:18:53']
['2024-02-17 03:23:26', '2024-02-17 03:21:24']
['2024-02-17 03:25:33', '2024-02-17 03:23:26']
['2024-02-17 03:27:45', '2024-02-17 03:25:33']
['2024-02-17 03:30:06', '2024-02-17 03:27:45']
['2024-02-17 03:33:19', '2024-02-17 03:31:03']
['2024-02-17 03:35:35', '2024-02-17 03:33:19']
['2024-02-17 03:37:47', '2024-02-17 03:35:35']
['2024-02-17 03:39:56', '2024-02-17 03:37:47']
['2024-02-17 03:42:11', '2024-02-17 03:39:56']
['2024-02-17 03:44:24', '2024-02-17 03:42:11']
['2024-02-17 03:46:35', '2024-02-17 03:44:24']
['2024-02-17 03:48:44', '2024-02-17 03:46:35']
['2024-02-17 03:50:55', '2024-02-17 03:48:44']
['2024-02-17 03:53:08', '2024-02-17 03:50:55']
['2024-02-17 03:55:26', '2024-02-17 03:53:08']
['2024-02-17 03:57:38', '2024-02-17 03:55:26']
['2024-02-17 03:59:49', '2024-02-17 03:57:38']
['2024-02-17 04:03:31', '2024-02-17 04:01:19']
['2024-02-17 04:05:43', '2024-02-17 04:03:31']
['2024-02-17 04:07:55', '2024-02-17 04:05:43']
['2024-02-17 04:12:16', '2024-02-17 04:07:55']
['2024-02-17 04:14:37', '2024-02-17 04:12:16']
['2024-02-17 04:16:47', '2024-02-17 04:14:37']
['2024-02-18 01:47:10', '2024-02-18 01:45:08']
['2024-02-18 02:27:52', '2024-02-18 02:16:08']
['2024-02-18 22:09:57', '2024-02-18 22:07:14']
['2024-02-19 03:46:12', '2024-02-19 03:30:10']
['2024-02-20 20:31:40', '2024-02-20 20:29:11']
['2024-02-20 20:54:10', '2024-02-20 20:51:08']
['2024-02-20 21:00:16', '2024-02-20 20:58:12']
['2024-02-21 19:46:21', '2024-02-21 19:30:08']
['2024-02-21 21:20:40', '2024-02-21 21:04:28']
['2024-02-22 16:07:08', '2024-02-22 16:04:11']
['2024-02-22 16:09:57', '2024-02-22 16:07:08']
['2024-02-22 16:13:02', '2024-02-22 16:10:16']
['2024-02-22 16:15:49', '2024-02-22 16:13:02']
['2024-02-22 16:18:35', '2024-02-22 16:15:49']
['2024-02-22 16:21:25', '2024-02-22 16:18:35']
['2024-02-22 16:24:14', '2024-02-22 16:21:25']
['2024-02-23 15:27:30', '2024-02-23 15:24:07']
['2024-02-24 03:07:26', '2024-02-24 03:02:09']
['2024-02-25 02:06:30', '2024-02-25 02:01:09']
['2024-02-25 07:03:29', '2024-02-25 07:01:08']
['2024-02-26 14:29:12', '2024-02-25 11:28:09']
['2024-02-26 21:54:14', '2024-02-26 21:36:19']
['2024-02-27 03:49:12', '2024-02-27 03:33:09']
['2024-02-27 14:45:16', '2024-02-27 14:29:09']
['2024-02-27 15:01:48', '2024-02-27 14:45:16']
['2024-02-27 16:01:31', '2024-02-27 15:59:24']
['2024-02-27 16:11:49', '2024-02-27 16:09:24']
['2024-02-27 16:47:33', '2024-02-27 16:30:55']
['2024-02-27 16:50:12', '2024-02-27 16:47:33']
['2024-02-28 16:46:26', '2024-02-27 19:00:08']
['2024-02-28 16:48:31', '2024-02-28 16:46:26']
['2024-02-28 16:52:57', '2024-02-28 16:48:31']
['2024-02-28 16:56:07', '2024-02-28 16:53:16']
['2024-02-28 16:59:05', '2024-02-28 16:56:07']
['2024-02-28 17:04:19', '2024-02-28 16:59:05']
['2024-02-28 17:07:27', '2024-02-28 17:04:19']
['2024-02-28 17:10:23', '2024-02-28 17:07:27']
['2024-02-28 17:13:17', '2024-02-28 17:10:23']
['2024-02-28 17:16:05', '2024-02-28 17:13:17']
['2024-02-28 17:19:01', '2024-02-28 17:16:05']
['2024-02-28 17:21:57', '2024-02-28 17:19:01']
['2024-02-28 17:24:49', '2024-02-28 17:21:57']
['2024-02-28 17:27:45', '2024-02-28 17:24:49']
['2024-02-28 17:30:39', '2024-02-28 17:27:45']
['2024-02-28 17:33:23', '2024-02-28 17:30:39']
['2024-02-28 17:36:19', '2024-02-28 17:33:23']
['2024-02-28 17:39:06', '2024-02-28 17:36:19']
['2024-02-28 17:42:01', '2024-02-28 17:39:06']
['2024-02-28 17:44:55', '2024-02-28 17:42:01']
['2024-02-28 17:47:47', '2024-02-28 17:44:55']
['2024-02-28 17:50:43', '2024-02-28 17:47:47']
['2024-02-28 17:53:38', '2024-02-28 17:50:43']
['2024-02-28 17:56:32', '2024-02-28 17:53:38']
['2024-02-28 17:59:23', '2024-02-28 17:56:32']
['2024-02-28 18:02:11', '2024-02-28 17:59:23']
['2024-02-28 18:05:01', '2024-02-28 18:02:11']
['2024-02-28 18:07:57', '2024-02-28 18:05:01']
['2024-02-28 18:10:57', '2024-02-28 18:07:57']
['2024-02-28 18:13:52', '2024-02-28 18:10:57']
['2024-02-28 18:16:43', '2024-02-28 18:13:52']
