['2024-02-14 02:04:40', '2024-02-14 02:01:18']
['2024-02-14 02:16:16', '2024-02-14 02:14:15']
['2024-02-14 04:19:04', '2024-02-14 04:15:18']
['2024-02-14 05:01:18', '2024-02-14 04:58:17']
['2024-02-14 08:10:19', '2024-02-14 08:08:15']
['2024-02-14 08:52:19', '2024-02-14 08:50:17']
['2024-02-14 09:15:18', '2024-02-14 09:13:16']
['2024-02-14 12:57:44', '2024-02-14 12:55:16']
['2024-02-14 13:20:16', '2024-02-14 13:18:15']
['2024-02-14 14:10:18', '2024-02-14 14:08:17']
['2024-02-14 18:19:18', '2024-02-14 18:17:17']
['2024-02-14 19:37:18', '2024-02-14 19:35:17']
['2024-02-14 20:13:17', '2024-02-14 20:11:16']
['2024-02-14 20:20:19', '2024-02-14 20:18:16']
['2024-02-14 20:41:19', '2024-02-14 20:39:17']
['2024-02-15 00:15:17', '2024-02-15 00:13:15']
['2024-02-15 04:19:17', '2024-02-15 04:15:18']
['2024-02-15 07:46:18', '2024-02-15 07:44:17']
['2024-02-15 08:08:19', '2024-02-15 08:06:16']
['2024-02-15 16:20:19', '2024-02-15 16:18:18']
['2024-02-15 16:36:19', '2024-02-15 16:34:18']
['2024-02-15 16:57:23', '2024-02-15 16:55:19']
['2024-02-15 17:16:00', '2024-02-15 17:13:19']
['2024-02-15 18:22:18', '2024-02-15 18:20:17']
['2024-02-15 18:51:18', '2024-02-15 18:49:17']
['2024-02-15 19:30:19', '2024-02-15 19:28:18']
['2024-02-15 20:36:19', '2024-02-15 20:34:17']
['2024-02-15 21:20:29', '2024-02-15 21:18:27']
['2024-02-15 21:29:32', '2024-02-15 21:27:29']
['2024-02-15 23:30:56', '2024-02-15 23:27:27']
['2024-02-15 23:38:25', '2024-02-15 23:36:23']
['2024-02-16 00:43:18', '2024-02-16 00:41:16']
['2024-02-16 00:59:31', '2024-02-16 00:57:16']
['2024-02-16 02:05:01', '2024-02-16 02:02:16']
['2024-02-16 03:33:15', '2024-02-16 03:31:14']
['2024-02-16 04:18:23', '2024-02-16 04:15:18']
['2024-02-16 05:51:19', '2024-02-16 05:49:18']
['2024-02-16 11:13:19', '2024-02-16 11:11:18']
['2024-02-16 12:34:19', '2024-02-16 12:32:18']
['2024-02-16 13:35:18', '2024-02-16 13:33:17']
['2024-02-16 15:26:19', '2024-02-16 15:24:18']
['2024-02-16 16:06:57', '2024-02-16 16:04:17']
['2024-02-16 18:38:20', '2024-02-16 18:36:18']
['2024-02-16 18:40:42', '2024-02-16 18:38:20']
['2024-02-16 19:09:20', '2024-02-16 19:07:17']
['2024-02-16 19:28:21', '2024-02-16 19:26:18']
['2024-02-16 20:49:19', '2024-02-16 20:47:18']
['2024-02-16 21:15:30', '2024-02-16 21:13:28']
['2024-02-16 21:53:29', '2024-02-16 21:50:31']
['2024-02-16 22:40:28', '2024-02-16 22:38:26']
['2024-02-16 23:16:26', '2024-02-16 23:14:25']
['2024-02-17 01:00:26', '2024-02-17 00:58:17']
['2024-02-17 01:18:24', '2024-02-17 01:16:15']
['2024-02-17 04:18:25', '2024-02-17 03:00:15']
['2024-02-17 05:24:20', '2024-02-17 05:22:18']
['2024-02-17 11:01:20', '2024-02-17 10:59:17']
['2024-02-17 11:38:18', '2024-02-17 11:36:17']
['2024-02-17 11:49:18', '2024-02-17 11:46:18']
['2024-02-17 13:36:18', '2024-02-17 13:34:17']
['2024-02-17 15:00:18', '2024-02-17 14:58:17']
['2024-02-17 15:47:19', '2024-02-17 15:45:17']
['2024-02-17 19:19:20', '2024-02-17 19:17:18']
['2024-02-17 20:40:19', '2024-02-17 20:38:18']
['2024-02-17 20:59:18', '2024-02-17 20:57:16']
['2024-02-17 21:01:29', '2024-02-17 20:59:18']
['2024-02-17 21:38:25', '2024-02-17 21:36:24']
['2024-02-18 00:10:17', '2024-02-18 00:08:16']
['2024-02-18 01:12:16', '2024-02-18 01:10:14']
['2024-02-18 01:47:26', '2024-02-18 01:45:15']
['2024-02-18 02:28:01', '2024-02-18 02:16:15']
['2024-02-18 04:18:41', '2024-02-18 04:15:19']
['2024-02-18 05:10:15', '2024-02-18 05:07:17']
['2024-02-18 06:49:16', '2024-02-18 06:47:14']
['2024-02-18 11:16:20', '2024-02-18 11:14:15']
['2024-02-18 13:19:18', '2024-02-18 13:17:16']
['2024-02-18 19:57:16', '2024-02-18 19:55:15']
['2024-02-18 20:08:21', '2024-02-18 20:06:16']
['2024-02-18 22:10:10', '2024-02-18 22:07:23']
['2024-02-18 23:51:24', '2024-02-18 23:49:22']
['2024-02-19 03:46:31', '2024-02-19 03:30:18']
['2024-02-19 04:18:28', '2024-02-19 04:15:18']
['2024-02-19 05:04:23', '2024-02-19 05:02:16']
['2024-02-19 05:19:19', '2024-02-19 05:17:18']
['2024-02-19 05:40:20', '2024-02-19 05:37:17']
['2024-02-19 05:56:18', '2024-02-19 05:54:17']
['2024-02-19 06:01:20', '2024-02-19 05:59:18']
['2024-02-19 06:26:21', '2024-02-19 06:24:20']
['2024-02-19 11:17:20', '2024-02-19 11:15:16']
['2024-02-19 11:59:19', '2024-02-19 11:57:17']
['2024-02-19 15:51:19', '2024-02-19 15:49:17']
['2024-02-19 16:42:18', '2024-02-19 16:40:15']
['2024-02-19 16:53:19', '2024-02-19 16:51:18']
['2024-02-19 23:25:26', '2024-02-19 23:23:24']
['2024-02-20 01:51:17', '2024-02-20 01:49:16']
['2024-02-20 04:19:15', '2024-02-20 04:15:16']
['2024-02-20 04:43:18', '2024-02-20 04:41:17']
['2024-02-20 05:04:20', '2024-02-20 05:02:17']
['2024-02-20 05:47:18', '2024-02-20 05:45:17']
['2024-02-20 06:20:21', '2024-02-20 06:18:20']
['2024-02-20 08:34:20', '2024-02-20 08:32:18']
['2024-02-20 11:05:33', '2024-02-20 11:03:18']
['2024-02-20 12:16:20', '2024-02-20 12:14:17']
['2024-02-20 13:16:21', '2024-02-20 13:14:19']
['2024-02-20 15:11:21', '2024-02-20 15:09:17']
['2024-02-20 20:07:17', '2024-02-20 20:04:18']
['2024-02-20 20:31:58', '2024-02-20 20:29:20']
['2024-02-20 20:47:27', '2024-02-20 20:45:18']
['2024-02-20 20:54:29', '2024-02-20 20:51:19']
['2024-02-20 23:01:28', '2024-02-20 22:59:25']
['2024-02-20 23:38:31', '2024-02-20 23:36:26']
['2024-02-21 00:32:17', '2024-02-21 00:30:16']
['2024-02-21 00:35:19', '2024-02-21 00:33:18']
['2024-02-21 04:18:23', '2024-02-21 04:15:18']
['2024-02-21 04:53:24', '2024-02-21 04:51:17']
['2024-02-21 05:41:34', '2024-02-21 05:39:19']
['2024-02-21 05:47:16', '2024-02-21 05:45:15']
['2024-02-21 05:51:19', '2024-02-21 05:49:18']
['2024-02-21 06:29:18', '2024-02-21 06:27:17']
['2024-02-21 07:38:19', '2024-02-21 07:36:17']
['2024-02-21 09:29:21', '2024-02-21 09:27:20']
['2024-02-21 10:18:18', '2024-02-21 10:16:17']
['2024-02-21 11:50:20', '2024-02-21 11:48:16']
['2024-02-21 15:41:21', '2024-02-21 15:39:17']
['2024-02-21 19:46:40', '2024-02-21 19:30:18']
['2024-02-21 20:44:20', '2024-02-21 20:42:17']
['2024-02-21 20:53:20', '2024-02-21 20:51:17']
['2024-02-21 21:21:02', '2024-02-21 21:04:40']
['2024-02-21 22:15:31', '2024-02-21 22:13:29']
['2024-02-22 00:28:16', '2024-02-22 00:26:15']
['2024-02-22 04:18:30', '2024-02-22 04:15:19']
['2024-02-22 04:21:18', '2024-02-22 04:19:17']
['2024-02-22 05:59:21', '2024-02-22 05:57:17']
['2024-02-22 06:42:21', '2024-02-22 06:40:20']
['2024-02-22 07:24:18', '2024-02-22 07:22:17']
['2024-02-22 07:46:20', '2024-02-22 07:44:17']
['2024-02-22 09:26:18', '2024-02-22 09:24:17']
['2024-02-22 13:11:20', '2024-02-22 13:09:17']
['2024-02-22 13:21:21', '2024-02-22 13:19:18']
['2024-02-22 14:48:21', '2024-02-22 14:46:18']
['2024-02-22 15:02:19', '2024-02-22 15:00:18']
